Ref no.;LAT;LON;Paleo-LAT;Paleo-Lon
4386;40.05;18.475; ; 
4396;32.4792;59.5736; ; 
3367;10.3333;45.05;-0.0592584;37.1455
2828;-14.8222;-146.8583;-22.413;-124.707
2087;-5.75;141.7167;-28.6497;132.831
2086;-6.0833;141.3833;-29.0242;132.507
3592;-7.7667;110.2;-4.48238;117.005
3201;-4.4167;119.6667;1.23747;125.202
3368;13.25;-59.5833;11.4903;-57.8296
3170;25.9667;67.7667;12.9062;62.9274
1115;26.9;27.6;16.5579;22.6952
3567;18.2167;-77.1;17.2047;-76.1834
3369;16.6667;-93.0833;18.6047;-83.4871
3912;17.05;-92.7167;18.7283;-83.6827
2349;33.4167;47.9667;19.8816;40.7646
3660;29.9833;31.1333;22.5168;26.375
784;35.4667;44.4333;25.5379;38.4359
837;30.8333;34.4167;25.8658;29.8559
3350;41.15;28.45;33.7942;24.6714
727;41.6667;27.5;37.0366;24.2365
4085;45.35;11.12;37.0755;10.2533
726;41.8167;26.7;37.2148;23.4976
4003;38.6833;-0.35;37.2328;-3.40952
3635;45.8667;13.8833;37.3013;12.7489
706;42.3;1.6667;37.6158;0.118078
3662;42.3833;0.5167;37.7275;-0.951683
725;43;2.7333;38.5672;0.265766
3659;41.9333;2.3;38.8885;-0.294389
2172;41.5833;1.6;38.9026;-1.22115
3636;45.55;13.85;39.1185;12.0178
3634;45.9667;13.5167;39.5586;11.7792
829;41.85;2.2167;39.813;-1.10154
688;41.95;2.3333;39.9707;-0.983412
2577;41.7667;2.1667;40.3721;-1.06308
4063;42.2;-0.38;40.8928;-3.5605
2319;45.8861;10.8847;41.9979;9.06525
4338;47.33;23.47;42.9662;20.7541
1729;47.1667;12.8833;43.1673;11.0627
3903;49.0167;19;43.7915;16.6512
1744;48.9167;16.75;46.5208;12.5747
3518;49.2333;17.3167;46.8524;13.0963
3924;48.45;34.9833;47.8942;30.4547
689;9.25;-79.6667;7.27653;-77.7565
2690;1.35;116.8333;8.73284;120.499
4395;32.7222;59.2417;8.84273;57.4834
