"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",-1.85824765175761
"15",-1.843628065126
"16",-1.82759177132519
"17",-1.81578585789659
"18",-1.80424773139164
"19",-1.80012255040312
"20",-1.7863838687696
"21",-1.73687698070336
"22",-1.72211311994827
"23",-1.65574776249595
"24",-1.63202703968299
"25",-1.58827341014451
"26",-1.50416318699545
"27",-1.33688349836357
"28",-1.1031959908768
"29",-0.805887815982274
"30",-0.437074900510881
"31",-0.0144580187181143
"32",0.454307974346764
"33",0.955444206597172
"34",1.48338644841296
"35",1.98232617332472
"36",2.50025820183792
"37",3.0130628463336
"38",3.54515973297108
"39",4.08106940882668
"40",4.63018594198031
"41",5.22888508452366
"42",5.83468939116597
"43",6.4867933416253
"44",7.1493150276138
"45",7.85539594085868
"46",8.60792829483571
"47",9.37483260399259
"48",10.1592886266666
"49",10.9401393069626
"50",11.6913414390751
"51",12.3946650895556
"52",13.0737571987773
"53",13.7033530458785
"54",14.2730279628792
"55",14.8367443456536
"56",15.3977026157662
"57",15.9601298412562
"58",16.5419634373159
"59",17.1318116924915
"60",17.7020202537855
"61",18.2311135594863
"62",18.7579007091022
"63",19.2857767749651
"64",19.771995380281
"65",20.2129642673224
"66",20.6353078053873
"67",21.0751294822457
"68",21.4637042383403
"69",21.8234469440404
"70",22.2085726803214
"71",22.5800139475088
"72",22.9390454632445
"73",23.2803354231253
"74",23.6325056822591
"75",24.0006402213023
"76",24.3791975576364
"77",24.7262521931847
"78",25.0319954173298
"79",25.278153221067
"80",25.4706219707322
"81",25.6545855513414
"82",25.7815375616232
"83",25.9230267487726
"84",26.0623548940671
"85",26.1043744498121
"86",26.102292232224
"87",26.0860204391343
"88",26.0766972466924
"89",26.1475674809138
"90",26.3433469542811
"91",26.5772537212457
"92",26.8187018597826
"93",27.0873364244872
"94",27.3434366978952
"95",27.494705217314
"96",27.4842227683801
"97",27.4351679552603
"98",27.3096017633166
"99",27.1504468176619
"100",26.9706515156946
"101",26.7742860839294
"102",26.558138630186
"103",26.3340651544053
"104",26.1369773834574
"105",25.9477736104108
"106",25.7372789619647
"107",25.4874095537191
"108",25.1822815253729
"109",24.829038509292
"110",24.4974867188951
"111",24.1765016584685
"112",23.7729035589506
"113",23.3897478811849
"114",22.9991127163173
"115",22.5700478785358
"116",22.0288286107629
"117",21.4079657472023
"118",20.7833446294563
"119",20.1446640179248
"120",19.4913732066834
"121",18.8757070002761
"122",18.2617355890223
"123",17.657244371405
"124",17.0187498855633
"125",16.4244226563364
"126",15.868050273988
"127",15.1989291592163
"128",14.5266033807498
"129",13.6335991041397
"130",12.5855343942762
"131",11.7501602346969
"132",10.6385262661449
"133",9.49668140524981
"134",8.59437253160518
"135",7.837595072195
"136",7.4377903303959
"137",7.21941290293158
"138",6.71869929440626
"139",6.22758151779705
"140",5.57977463602128
"141",5.35145040595372
"142",5.03997995168301
"143",4.7432067830101
"144",4.41233638922647
"145",4.16528278433779
"146",3.78811672987167
"147",3.53049402446483
"148",3.32210523388817
"149",3.03717648499849
"150",2.97466694511229
"151",3.01642556306751
"152",2.95925686212935
"153",2.98696320037897
"154",3.19129777173725
"155",3.21663517727035
"156",2.81048504193077
"157",2.36244886866794
"158",1.95330685963343
"159",1.23071957700733
"160",0.634779417466237
"161",0.377092762980709
"162",-0.170551059307671
"163",-0.158479089150754
"164",-0.481312485615274
"165",-0.780283485496815
"166",-1.04962812581033
"167",-1.17995928704212
"168",-1.35549330250825
"169",-1.48094975285985
"170",-1.55102883919987
"171",-1.58934249978899
"172",-1.62048008945849
"173",-1.68150460691877
"174",-1.70129739890329
"175",-1.70388216443829
"176",-1.72505079299488
"177",-1.72058096862134
"178",-1.73077234617538
"179",-1.72785102711784
"180",-1.72894493023186
"181",-1.7335000038147
