"","calc_reef_year","calc_reef_year.1"
"0",364.918496301654,364.918496301654
"1",364.919447910117,364.919447910117
"2",364.919672421851,364.919672421851
"3",364.919167649047,364.919167649047
"4",364.917918393953,364.917918393953
"5",364.915896021226,364.915896021226
"6",364.913057716091,364.913057716091
"7",364.909345407924,364.909345407924
"8",364.904684330034,364.904684330034
"9",364.898981176792,364.898981176792
"10",364.892121808658,364.892121808658
"11",364.883968443709,364.883968443709
"12",364.874356260868,364.874356260868
"13",364.863089324612,364.863089324612
"14",364.849935723445,364.849935723445
"15",364.834621794211,364.834621794211
"16",364.816825281236,364.816825281236
"17",364.796167252727,364.796167252727
"18",364.772202566538,364.772202566538
"19",364.744408642815,364.744408642815
"20",364.712172261848,364.712172261848
"21",364.674774061343,364.674774061343
"22",364.631370358122,364.631370358122
"23",364.580971865062,364.580971865062
"24",364.522418815218,364.522418815218
"25",364.454351942517,364.454351942517
"26",364.375178703779,364.375178703779
"27",364.283034062721,364.283034062721
"28",364.175735097168,364.175735097168
"29",364.050728641787,364.050728641787
"30",363.905031148794,363.905031148794
"31",363.735159949953,363.735159949953
"32",363.537055150598,363.537055150598
"33",363.305991501431,363.305991501431
"34",363.036479803617,363.036479803617
"35",362.722157741499,362.722157741499
"36",362.355670547195,362.355670547195
"37",361.92854263202,361.92854263202
"38",361.431042327117,361.431042327117
"39",360.852043218403,360.852043218403
"40",360.178887293525,360.178887293525
"41",359.397257280088,359.397257280088
"42",358.491068151256,358.491068151256
"43",357.442390756363,357.442390756363
"44",356.231423761129,356.231423761129
"45",354.836533290543,354.836533290543
"46",353.234382432887,353.234382432887
"47",351.400174476781,351.400174476781
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",0,0
"53",0,0
"54",0,0
"55",0,0
"56",0,0
"57",0,0
"58",0,0
"59",0,0
"60",0,0
"61",0,0
"62",0,0
"63",0,0
"64",0,0
"65",0,0
"66",0,0
"67",0,0
"68",0,0
"69",0,0
"70",0,0
"71",0,0
"72",0,0
"73",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",0,0
"84",0,0
"85",0,0
"86",0,0
"87",0,0
"88",0,0
"89",0,0
"90",0,0
