"","calc_reef_year","calc_reef_year.1","calc_reef_year.2","calc_reef_year.3"
"0",364.918496301654,364.999949179053,355.37433896611,163.69992123909
"1",364.919447910117,364.999951529683,355.389502822794,163.666501517898
"2",364.919672421851,364.999952496288,355.380947645147,163.589546872114
"3",364.919167649047,364.999952096122,355.34858158394,163.469125099561
"4",364.917918393953,364.999950280168,355.292191996469,163.305306626236
"5",364.915896021226,364.999946928998,355.211444389989,163.098165071627
"6",364.913057716091,364.999941844206,355.105880763419,162.847777812967
"7",364.909345407924,364.999934734734,354.974917356939,162.554226551194
"8",364.904684330034,364.99992519705,354.817841821304,162.217597881151
"9",364.898981176792,364.999912687647,354.633809821563,161.837983868315
"10",364.892121808658,364.999896485754,354.421841093544,161.415482634141
"11",364.883968443709,364.999875643388,354.180814976208,160.950198951941
"12",364.874356260868,364.999848918837,353.909465448801,160.442244855055
"13",364.863089324612,364.999814688371,353.606375709004,159.891740258998
"14",364.849935723445,364.999770829172,353.269972337018,159.29881359915
"15",364.834621794211,364.999714564121,352.898519101057,158.663602485551
"16",364.816825281236,364.999642255914,352.490110472157,157.98625437634
"17",364.796167252727,364.999549133766,352.042664930785,157.266927271432
"18",364.772202566538,364.999428930267,351.553918164616,156.505790428103
"19",364.744408642815,364.999273398422,351.021416276147,155.703025100302
"20",364.712172261848,364.999071668704,350.44250914077,154.85882530371
"21",364.674774061343,364.998809392386,349.814344080379,153.9733986088
"22",364.631370358122,364.998467599199,349.133860044764,153.046966964521
"23",364.580971865062,364.99802117301,348.39778252258,152.079767555626
"24",364.522418815218,364.997436816657,347.6026194355,151.07205369716
"25",364.454351942517,364.996670333589,346.744658302689,150.024095770294
"26",364.375178703779,364.995662995972,345.819964997385,148.936182204366
"27",364.283034062721,364.994336691702,344.824384452283,147.808620510952
"28",364.175735097168,364.992587440165,343.753543704357,146.641738376801
"29",364.050728641787,364.990276730598,342.602857701221,145.435884823752
"30",363.905031148794,364.987219957104,341.367538318431,144.19143144525
"31",363.735159949953,364.983170987668,340.042607057905,142.908773730831
"32",363.537055150598,364.977801593917,338.622911909527,141.588332492083
"33",363.305991501431,364.970674063141,337.103148858195,140.230555406041
"34",363.036479803617,364.961204788373,335.477888504017,138.835918694982
"35",362.722157741499,364.948615955617,333.741608231134,137.404928965088
"36",362.355670547195,364.931871584125,331.888730307692,135.938125230685
"37",361.92854263202,364.909593087719,329.913666223441,134.436081155815
"38",361.431042327117,364.879948174657,327.810867470265,132.899407550977
"39",360.852043218403,364.840505261019,325.57488284418,131.328755170218
"40",360.178887293525,364.788043630405,323.20042219544,129.72481786268
"41",359.397257280088,364.718307368834,320.682426379423,128.088336143567
"42",358.491068151256,364.625688760656,318.016142969793,126.420101262829
"43",357.442390756363,364.502824617404,315.197207095357,124.720959866337
"44",356.231423761129,364.340087434092,312.221726563897,122.991819364765
"45",354.836533290543,364.12495320535,309.086370254852,121.233654151042
"46",353.234382432887,363.841230613685,305.788458615768,119.447512839577
"47",351.400174476781,363.468144304594,302.326055006338,117.634526741721
"48",349.308033625997,362.979281205303,298.698056622923,115.795919845028
"49",346.931544058152,362.341437408793,294.904283833285,113.933020632983
"50",344.244461663463,361.513448696854,290.945566986609,112.04727617297
"51",341.221601957335,360.445154321438,286.823830172903,110.140269021986
"52",337.839892399731,359.07673185543,282.542172030622,108.213737664745
"53",334.079558485468,357.33874338295,278.104944596216,106.269601426858
"54",329.925392532343,355.1533281603,273.517832431422,104.309991126802
"55",325.368035484622,352.437021776966,268.787935972985,102.337287192619
"56",320.405189828827,349.105614054314,263.923865423244,100.354167652009
"57",315.042681044581,345.081209889504,258.935854885258,98.3636694436345
"58",309.295300829504,340.301195690237,253.835911475774,96.3692681351267
"59",303.187401750498,334.728197756691,248.638022032603,94.3749838241264
"60",296.753273675352,328.35954437847,243.358453205474,92.3855256479519
"61",290.037423705029,321.234524802536,238.016204429436,90.4064958747139
"62",283.095022104831,313.438192552858,232.633719871433,88.4446915469381
"63",275.993027032962,305.101766246168,227.238067536442,86.5085791298255
"64",268.81306443064,296.4019506212,221.863052622643,84.6091129670388
"65",261.658842462918,287.5657537188,216.55354857823,82.7613695376949
"66",254.678797158863,278.902442185365,211.377157629426,80.9888834979039
"67",248.197632245925,271.035570994333,206.488475954011,79.3474140155
"68",242.304384507558,264.149425029165,201.929754814375,77.8512320104114
"69",236.732741947063,257.773793792681,197.572522914782,76.4513694326043
"70",231.38849612034,251.747553372753,193.37275827986,75.1298388667752
"71",226.218925207739,245.981499071224,189.307512894277,73.8761465749347
"72",221.189522868625,240.416108125097,185.363559497907,72.6830189242974
"73",216.276351173154,235.007446128051,181.533598481333,71.5449153251189
"74",211.463097018506,229.721460705922,177.814721025654,70.4573695325168
"75",206.739456707682,224.530625679097,174.207459816525,69.4165426548325
"76",202.10060890561,219.412626255271,170.715289295166,68.4189446769196
"77",197.547605648106,214.350921754034,167.344498386938,67.461298193179
"78",193.087407656563,209.335036171024,164.103722080957,66.5402981081068
"79",188.733464918142,204.362347723363,161.003555203328,65.6524429126591
"80",184.5063782552,199.440575086632,158.055939533139,64.7938535637431
"81",180.434967001862,194.591429206731,155.273474696394,63.960154341066
"82",176.555716195194,189.851867643643,152.667370828329,63.1460601485472
"83",172.913073385764,185.277841440617,150.245797926704,62.3452518150857
"84",169.556447760049,180.945342944502,148.010764877145,61.5499693472098
"85",166.532824072945,176.950596998003,145.954361876865,60.750567871945
"86",163.871876121077,173.40415578107,144.054441211274,59.9349572837972
"87",161.563700789667,170.402583757558,142.270369281497,59.0879572764721
"88",159.534813829248,167.954736360276,140.538718759231,58.1904098819951
"89",157.632842596325,165.889398742554,138.76899993297,57.2180533764366
"90",155.621552086292,163.82311099046,136.838465856421,56.1400455383998
